gloss,age,role,Vqilai,qilai_shenme
吃起来 是 什么 味道 的 呀,66,adult,吃, 是 什么 味道 的 呀
吃 起来 好 好吃 的 样子,78,child,吃, 好 好吃 的 样子
吃 起来 有 吃 起来 有 这样 的,78,child,吃, 有 吃 起来 有 这样 的
你 再 给 我 介绍 一下 这个 苹果 摸 起来 是 什么 感觉 呢,54,adult,摸, 是 什么 感觉 呢
摸 起来 好像,78,child,摸, 好像
吃 起来 好 吃,78,child,吃, 好 吃
摸 起来 是 什么 感觉 摸 过 吗,54,adult,摸, 是 什么 感觉 摸 过 吗
摸 起来 什么 感觉 呢,54,adult,摸, 什么 感觉 呢
吃 起来 什么 味道 呢,54,adult,吃, 什么 味道 呢
摸 起来 滑 的,66,child,摸, 滑 的
摸 起来 很 滑,78,child,摸, 很 滑
摸 起来 滑滑 的,60,child,摸, 滑滑 的
闻 起来 很 香,78,child,闻, 很 香
闻 起来 像 苹果 味道,78,child,闻, 像 苹果 味道
我 玩起来 很高兴 的,60,child,玩, 很高兴 的
玩起来 身体 健康,60,child,玩, 身体 健康
起来 了,54,child,NA, 了
起来 了 这个,54,child,NA, 了 这个
可是 那个 那个 这个 飞机 飞 起来,66,child,飞,NA
然后 然后 然后 长颈鹿 就 哭 起来 了,66,child,哭, 了
长颈鹿 就 高兴 起来 了,66,child,兴, 了
他就 说 不客气 长颈鹿 笑起来 大象 也 笑 起 来,72,child,笑, 大象 也 笑 起 来
然后 他们 没有 看到 不能 跑啊跑的 标志 他们 就 跑起来,72,child,跑,NA
他 就 跑起来 他 很 着急 他 滑倒了,72,child,跑, 他 很 着急 他 滑倒了
他 拿 起来 他 一点 都 没拿 就 到 了 大象 旁边,72,child,拿, 他 一点 都 没拿 就 到 了 大象 旁边
然后 大象 拿 了 拿 了 起来,72,child,拿,NA
爸爸 就去 取球 也 没有 拿起来 长颈鹿 哭 了,72,child,拿, 长颈鹿 哭 了
他 就 这样 玩 起来 玩 起 来,72,child,玩, 玩 起 来
大象 的 好朋友 球 拿起来 了,72,child,拿, 了
他的 妈妈 把 他的 宝宝 抱起来 了,72,child,抱, 了
然后 他 就 开心 起来 了,66,child,心, 了
长颈鹿 试着 把 它 拿 起来,84,child,拿,NA
然后 把 它 飞机 绑 起来,84,child,绑,NA
长颈鹿 就 把 拿 起来了,84,child,拿,了
它 试着 把 它 拿起来,84,child,拿,NA
它 就把 它的 飞机 藏 起来了,96,child,藏,了
会 把 它的 玩具 拿起来 了,84,child,拿, 了
然后 大象 爸爸 试着 把 它 拿起来,84,child,拿,NA
把 这个 飞机 拿起来,84,child,拿,NA
终于 拿起来,84,child,拿,NA
然后 小驴哥哥 捡 起来了,72,child,捡,了
飞机 升起来 了,84,child,升, 了
他 被 带 起来 他 在 那儿 坐 呢,78,child,带, 他 在 那儿 坐 呢
但是 他们 两个 玩 了 起来,78,child,玩,NA
给 妈妈 这个 妈妈 苹果 拿 起来 然后 说,54,child,拿, 然后 说
跳 起来,54,child,跳,NA
他 把 她 扶 起来,78,child,扶,NA
他 起来 那些 这个,66,child,他, 那些 这个
他 要 把 他 抱 起来,54,child,抱,NA
他们 起来 了,54,child,们, 了
还有 这个 这个 飞机 拿 起来 他们 送给,54,child,拿, 他们 送给
还有 拿 不 起来,54,child,拿,NA
然后 他 恩 起来 恩 飞机 扔 到 河 里面 了,54,child,恩, 恩 飞机 扔 到 河 里面 了
一起来,60,child,一,NA
还有 这个 拿 这个 拿 起来,54,child,拿,NA
马 马 掉 到 水 把 起来 的 时候 然后 在 掉 水 的 时候 就 拿 球,66,child,把, 的 时候 然后 在 掉 水 的 时候 就 拿 球
他们 起来 了,54,child,们, 了
这 小孩子 要 把 它 抱 起来 了,54,child,抱, 了
然后 她妈妈 来了 趴到 那 拿起来 了,72,child,拿,了 趴到 那 拿起来 了
有 飞机 飞 起来 他 给 他 飞 起来,60,child,飞, 他 给 他 飞 起来
在 后面 后面 爸爸 来了 他 起来 了 这样子 坐下,72,child,他,了 他 起来 了 这样子 坐下
他们 两 个打 起来,72,child,打,NA
然后 给 不是 我 弄的 是 他 弄的 他 没 抓起来,72,child,抓,NA
然后 打起来,72,child,打,NA
然后 他 把 飞机 拿 起来,72,child,拿,NA
终于 拿 起来 了 好 了,72,child,拿, 了 好 了
然后 他 拿 也 拿 不 起来 他 害怕 拿,72,child,拿, 他 害怕 拿
他 哭起来 了,72,child,哭, 了
然后 爸爸 把 他 的 宝宝 给 扶 起来,78,child,扶,NA
吃起来酸酸的味道,72,child,吃,酸酸的味道
球是圆形的玩起来它会嗯,72,child,玩,它会嗯
摸 起来 圆形,72,child,摸, 圆形
还有 它 的 皮 红红 的 中间 有 个 东西 拿 起来 就 可以 吃 了,84,child,拿, 就 可以 吃 了
然后 然后 妈妈 爸爸 让他 抬 起来 然后 奶奶 也 也,78,child,抬, 然后 奶奶 也 也
然后 奶牛 抓 他的 手 也 走 起来,78,child,走,NA
小羊 这是 苹果 它 有 一层 红红 的 果皮 剥 下去 有 一 层 坚实 的 果肉 吃 起来味道 爽 极 了人们 还 把 它 当 做 礼物 给 自己 的 朋友 给 病人 送去 礼物,84,child,吃,味道 爽 极 了人们 还 把 它 当 做 礼物 给 自己 的 朋友 给 病人 送去 礼物
然后 他就 把 飞机 高高地 飞起来 了,72,child,飞, 了
这是 一 个 苹果 它 看 起来 是 圆圆 的 它 的 皮 是 红红 的 把 皮 弄 起来 然后吃 吃 特别 甜甜 的 它 的 价格 是 五 块 钱,96,child,看, 是 圆圆 的 它 的 皮 是 红红 的 把 皮 弄 起来 然后吃 吃 特别 甜甜 的 它 的 价格 是 五 块 钱
苹果 是 一 种 水果 它 圆圆 的 而且 是 红色 吃 起来 香 又 甜 的,84,child,吃, 香 又 甜 的
然后 妈妈 使劲 把它 拉 起来,78,child,拉,NA
吃起来非常 好吃,84,child,吃,非常 好吃
吃 起来 很 甜,60,child,吃, 很 甜
外面 红红 的 滑滑 的 吃 起来 特别 好 吃,60,child,吃, 特别 好 吃
把 皮 剥开了 里面 是 白白 的 吃 起来 是 甜甜 的,60,child,吃, 是 甜甜 的
嗯 嗯 里面 吃起来 它 是 甜 甜 的,72,child,吃, 它 是 甜 甜 的
摸起来 啊 有点 滑,84,child,摸, 啊 有点 滑
而 有些 地方 看起来 像 白色 但 那里 不是 白色 是 红色,84,child,看, 像 白色 但 那里 不是 白色 是 红色
因为 灯 开 了 以后 然后 就像 看起来 都是 白色,84,child,看, 都是 白色
还有 还有 还有 合起来 吃的 话 就 就 就 那 就会 那 就会 那 那 就会 那 就会 那 就 话 吃不下 的,84,child,合, 吃的 话 就 就 就 那 就会 那 就会 那 那 就会 那 就会 那 就 话 吃不下 的
吃 起来 吃 起来 很好吃,84,child,吃, 吃 起来 很好吃
它 它 可以 剥起来 吃,84,child,剥, 吃
吃 起来 呢,84,adult,吃, 呢
吃 起来 很甜,84,child,吃, 很甜
一会儿 玩儿 起来 的 话 它 会 自己 跳来跳去,72,child,儿, 的 话 它 会 自己 跳来跳去
还能 想起来 吗,72,adult,想, 吗
嗯 苹果 吃起来 里面 是 白色 甜 甜 的,84,child,吃, 里面 是 白色 甜 甜 的
还有 它 特别 和 吃起来,84,child,吃,NA
然后 吃上去 以后 看起来 很甜,84,child,看, 很甜
吃起来 也 很 甜,84,child,吃, 也 很 甜
吃 起来 给 朋友 吃 也 很甜,84,child,吃, 给 朋友 吃 也 很甜
打 打起来 就 不会 破,84,child,打, 就 不会 破
哦 吃起来 呢,60,adult,吃, 呢
外面 看起来 时 什么样 的 呢,60,adult,看, 时 什么样 的 呢
外面 看起来 好 漂亮,60,child,看, 好 漂亮
吃起来 呢 啥 味道,60,adult,吃, 呢 啥 味道
啊 吃起来 呢,60,adult,吃, 呢
嗯 吃起来 又 甜,60,child,吃, 又 甜
嗯 你 告诉 老师 苹果 吃起来 是 什么 味道,60,adult,吃, 是 什么 味道
吃起来 香不香,60,adult,吃, 香不香
吃起来 是 什么 味道 呢,60,adult,吃, 是 什么 味道 呢
踢起来 可以 和 朋友 一起 踢 就 像 足球 赛 比赛 一样,84,child,踢, 可以 和 朋友 一起 踢 就 像 足球 赛 比赛 一样
嗯 要 把 飞 嗯 球 举起来 跳 跳,60,child,举, 跳 跳
它 吃起来 是 什么 味道,72,adult,吃, 是 什么 味道
吃起来 是 什么 味道,72,adult,吃, 是 什么 味道
然后 呢 它 看起来 是 什么 样子 的 呢,60,adult,看, 是 什么 样子 的 呢
那 苹果 吃起来 什么 味道,72,adult,吃, 什么 味道
然后 最后 一 个 然后 腿 好 了 以后 然后 能 站起来,72,child,站,NA
那个 苹果 吃起来 酸酸 甜甜 的,60,child,吃, 酸酸 甜甜 的
它 咬 不 起来,60,child,咬,NA
它 吃起来 香香 的,60,child,吃, 香香 的
黄 苹果 吃起来 不酸,60,child,吃, 不酸
然后 再 把 它 捡 起来,60,child,捡,NA
吃起来 好好吃,72,child,吃, 好好吃
摸 起来 挺 滑 的 感觉,84,child,摸, 挺 滑 的 感觉
吃 起来 很 甜 的,84,child,吃, 很 甜 的
想不起来 那 你 知不知道 买 一 个 苹果 需要 多少钱 呀,72,adult,想, 那 你 知不知道 买 一 个 苹果 需要 多少钱 呀
大象 捡 起来 了 球,60,child,捡, 了 球
还有 又 起来,60,child,又,NA
它 吹 起来 它 的 那个 飞机 了,60,child,吹, 它 的 那个 飞机 了
小马 飞机 飞 起来 了,60,child,飞, 了
长颈鹿 把 它 捡 起来 了,72,child,捡, 了
然后 他 说 把 这里 的 飞机 捡 起来,72,child,捡,NA
然后 他 捡 起来 他 也 没 办法,72,child,捡, 他 也 没 办法
然后 把 那个 飞机 捡 起来,72,child,捡,NA
然后 长颈鹿 哭 了 起来,72,child,哭,NA
最后 大象 就 哭 了 起来,72,child,哭,NA
他 想 飞 起来 用 那个 飞机,72,child,飞, 用 那个 飞机
小象 用 快速 的 速度 跑 了 起来,72,child,跑,NA
最后 大象 想 用 他 的 鼻子 把 那个 飞机 飞 起来,72,child,飞,NA
然后 长颈鹿 站 起来 给 大象 妈妈 说 大象 妈妈 你 为什么 要 把 我 掉到 河 里面去,72,child,站, 给 大象 妈妈 说 大象 妈妈 你 为什么 要 把 我 掉到 河 里面去
然后 起来,72,child,后,NA
它 拿起来 了,75,child,拿, 了
长颈鹿 就 哭 起来 了,72,child,哭, 了
然后 呀他 就 扶 他 坐 起来 了,72,child,坐, 了
然后 他 说 我 给 你 拿起来 怎么样,87,child,拿, 怎么样
然后 长颈鹿 就 哭起来 了,87,child,哭, 了
然后 再 牛 把 飞机 抬 起来,84,child,抬,NA
大象 看起来 想 跳水,84,child,看, 想 跳水
然后 就 笑 起来 了,84,child,笑, 了
然后 他 就 笑起来,87,child,笑,NA
然后 大家 都 开心 了 起来,72,child,心,NA
大象 看起来 特别 疼,60,child,看, 特别 疼
他 放开 飞机 让 他 飞 起来,60,child,飞,NA
然后 爸爸 来 了 以后 他 想 他 想 把 这个 飞机 弄 起来,72,child,弄, 了 以后 他 想 他 想 把 这个 飞机 弄 起来
小鹿 弟弟 就 哇哇 哭 起来,60,child,哭,NA
然后 然后 不 想 起来 了,84,child,想, 了
就 用 捞鱼 的 东西 把 它 捞 起来 了,84,child,捞, 了
象 滑 了起来,84,child,滑,NA
然后 把 它 给 拿 起来 了,60,child,拿, 了
大象 然后 大象 宝宝 就 很 x 地 哭 起来 了,60,child,哭, 了
我 不是 故意 的 长颈鹿 哭起来 了,87,child,哭, 了
用 这个 拿 拿 不起来,87,child,拿,NA
然后 它 飞 不 起来,60,child,飞,NA
然后 给 他 说 我 帮 你 拿 起来 说 了,60,child,拿, 说 了
他 的 爸爸 就 拿 起来 了,60,child,拿, 了
它 起来 了,60,child,它, 了
它 飞 起来 飞机,60,child,飞, 飞机
然后 用 篮子 把 他 拿 起来 了,72,child,拿, 了
然后 他 的 脚 不 起来 了,84,child,脚, 了
长颈鹿 他 藏起来,72,child,藏,NA
然后 拿起来 xxx 没起来 他 拿 到 啦 他 给 他 啦 他 想 想 xxx,84,child,拿, xxx 没起来 他 拿 到 啦 他 给 他 啦 他 想 想 xxx
他 说 我们 一起 玩 吧 然后 他 xxx 起来 啦,84,child,x, 啦
然后 他 打 起来 掉 下 了 水 里 去,84,child,打, 掉 下 了 水 里 去
跳 起来 还有 马 还有 我 爸爸 这里,60,child,跳, 还有 马 还有 我 爸爸 这里
然后他妈妈过来 拿着那个绳 捡起来,84,child,捡, 拿着那个绳 捡起来
那个长颈鹿还要游泳把它的球捡起来,84,child,捡,NA
把 大象孩子抱了起来,84,child,抱,NA
把飞机捡起来,84,child,捡,NA
然后 牛 弄 飞机 呜呜呜 飞起来,87,child,飞,NA
然后 这个 大象 很 紧张 跑 了 起来,87,child,跑,NA
吃 起来 很 香 很 香 的,63,child,吃, 很 香 很 香 的
拿 呀 拿 呀 拿 起来 了,87,child,拿, 了
红色 的 吃 起来 非常 的 甜,75,child,吃, 非常 的 甜
吃 起来 非常 的 甜,75,child,吃, 非常 的 甜
然后 剥 起来 就 是 白 的,63,child,剥, 就 是 白 的
吃 起来 可是 很 香 的,75,child,吃, 可是 很 香 的
吃起来 很 甜 也 跟 香蕉 一样 吃起来 很 香,75,child,吃, 很 甜 也 跟 香蕉 一样 吃起来 很 香
恩 现在 可以 想起来 看 过,75,child,想, 看 过
还有 踢 起来 是 很 快 活蹦乱跳,75,child,踢, 是 很 快 活蹦乱跳
把 它 踢 起来 的 时候 它 会 蹦蹦跳,75,child,踢, 的 时候 它 会 蹦蹦跳
早上 起来 也 要 运动 一 下,75,child,上, 也 要 运动 一 下
这个 皮球 这个 皮球 这个 皮球 这个 皮球 我 想 不 起来,75,child,想,NA
恩 起来 了,63,child,恩, 了
飞机 飞 起来 了 他 又 拿 了,63,child,飞, 了 他 又 拿 了
妈妈 起来 了,63,child,妈, 了
他 哭 了 起来,63,child,哭,NA
然后 马 他 就 起来 了,84,child,就, 了
他 从 水 里 他 从 水 里 过去 他 起来 了,84,child,他, 了
长颈鹿 在 那里 一 下 看 着 他 然后 然后 他 说 他 起来 没 事 吧,75,child,他, 没 事 吧
把 爸爸 把 他们的 脚 xxx 弄 起来,75,child,弄,NA
然后 然后 他 长 那个 那个 那 大象 笑 起来 了,84,child,笑, 了
长颈鹿 笑 起来 了,84,child,笑, 了
大 大象 快 要 哭 起来 了,72,child,哭, 了
小马 就 哭 起来 了,84,child,哭, 了
牛 高兴 高兴 起来,63,child,兴,NA
牛 站 起来 说,63,child,站, 说
长颈鹿 把 他 的 爸爸 叫 起来,84,child,叫,NA
大象 高兴 起来,63,child,兴,NA
大象 笑 起来,63,child,笑,NA
把 那个 合 起来 了,63,child,合, 了
就 他 飞机 抱 起来 了,84,child,抱, 了
然后 恩 牛 爸爸 开心 起来,63,child,心,NA
然后 大象 的 爸爸 拿 不 起来 飞机,63,child,拿, 飞机
她 说 把 他 的 腿 用 双面胶 贴 起来 了,75,child,贴, 了
然后 教练 把 他 扶 起来 坐 到 椅子 上 了,75,child,扶, 坐 到 椅子 上 了
然后 长颈鹿 也 高兴 起来 了,63,child,兴, 了
然后 马 拿 起来 了,75,child,拿, 了
然后 长颈鹿 就 笑眯眯 地 起来 了,63,child,地, 了
然后 教练 就 爬 起来 拿拿 拿 那个 飞机 就 拿 不 到,75,child,爬, 拿拿 拿 那个 飞机 就 拿 不 到
然后 他 的 那个 他 就 痛 起来,75,child,痛,NA
然后 和 他 弄 来 飞 起来 了,75,child,飞, 飞 起来 了
飞 起来 以后 掉 在 河里 了 河里 去 了,75,child,飞, 以后 掉 在 河里 了 河里 去 了
然后 他 就 高兴 起来 了,75,child,兴, 了
最后 那个 大象 哭 了 起来,75,child,哭,NA
大象 就 高兴 起来 了,75,child,兴, 了
然后 他 就 用 手 抓 就 飞 起来 了,75,child,飞, 了
大象 把 眼睛 捂 了 起来,75,child,捂,NA
那 个 长颈鹿 上来 就 嘻 嘻 他 就 这样 笑 了 起来,75,child,笑, 就 嘻 嘻 他 就 这样 笑 了 起来
最后 他 那个 水牛 哭 了 起来 拿 不 到 飞机,75,child,哭, 拿 不 到 飞机
长颈鹿 就 笑 起来 了,87,child,笑, 了
大象 也 笑 起来 了,87,child,笑, 了
大象 很 害怕 想 把 它 捡 起来,75,child,捡,NA
渔网 已经 捡 起来 飞机 了,75,child,捡, 飞机 了
然后 大象 说 的 把 那 个 球 捡 起来,75,child,捡,NA
我 捡 不 起来 就 不行 了,75,child,捡, 就 不行 了
那是 我 的 球 捡 不 起来,75,child,捡,NA
不能 这样 我 不 需要 捡 起来,75,child,捡,NA
然后 再 叫 长颈鹿 把 它 飞 起来 了,87,child,飞, 了
然后 大象 就 球 想 把 它 捡 起来,75,child,捡,NA
然后 那 个 大象 再 一 用 劲 终于 把 长颈鹿 的 飞机 给 拿 起来 了,75,child,拿, 了
跳 了 两 次 还是 没有 弄 起来,75,child,弄,NA
然后 他 就 笑 起来 了,75,child,笑, 了
长颈鹿 哥哥 让 飞机 飞 起来,75,child,飞,NA
爸爸 你 赶快 捡 起来,75,child,捡,NA
就 把 他 就 拿 起来 了,87,child,拿, 了
然后 再 长颈鹿 就 笑 着 起来 了,87,child,着, 了
大象 又 想 把 它 弄 起来,75,child,弄,NA
他 用 一 个 够 的 东西 掉 到 水 里面 把 他 捡 起来,75,child,捡,NA
然后 他 帮 他 捡 了 起来,72,child,捡,NA
大象 爸爸 他 他 他 帮 大象 大象 妈妈 扶 起来 坐 到 椅子 上 让 他 再 也 不 让 跑,84,child,扶, 坐 到 椅子 上 让 他 再 也 不 让 跑
然后 然后 小马 把 他 扶 起来 坐 到 椅子 上,84,child,扶, 坐 到 椅子 上
然后 大象 开心 xxx 起来 给 长颈鹿 啦,72,child,x, 给 长颈鹿 啦
然后 长颈鹿 和 大象 笑 了 起来,75,child,笑,NA
他 玩 了 起来,75,child,玩,NA
然后 大象 又 把 那 个 东西 拿 起来,75,child,拿,NA
呃 他 他 拿 起来 没 拿 到,72,child,拿, 没 拿 到
然后 爸爸 就 生气 把 它 捡 起来,75,child,捡,NA
没 捡 起来 他 就 哭 了 起来,75,child,捡, 他 就 哭 了 起来
然后 妈妈 把 它 拿 起来 使 劲 拉 拉,75,child,拿, 使 劲 拉 拉
这个 长颈鹿 想 让 他 的 飞机 飞 起来,75,child,飞,NA
飞机 长颈鹿 想 让 这个 飞机 飞 起来,75,child,飞,NA
太阳 公公 它 它 它 它 起来 了,36,child,它, 了
毛毛虫 想 站 起来 但是 站 不 起来,48,child,站, 但是 站 不 起来
然后 它 一 天 早上 它 要 起来,48,child,要,NA
但是 站 不 起来,48,adult,站,NA
然后 还有 很 多 太阳 升 起来 了,48,child,升, 了
有 一 天 太阳 升 起来 了 有 个 毛毛虫 慢慢 地 爬 起来,48,child,升, 了 有 个 毛毛虫 慢慢 地 爬 起来
暖暖 的 太阳 升 起来 了,48,child,升, 了
太阳 又 升 起来 了,48,child,升, 了
太阳 升 起来 了,48,adult,升, 了
嗯 太阳 公公 升 起来 了,48,child,升, 了
太阳 升 起来 了,48,child,升, 了
这 是 想 不 起来,48,child,想,NA
想 不 起来 啊,48,adult,想, 啊
太阳 升 起来 了,48,child,升, 了
有 一 个 有 一 天 太阳 升 起来 了,60,child,升, 了
后来 毛毛虫 起来 了,60,child,虫, 毛毛虫 起来 了
后来 太阳 公公 真 的 升 起来,60,child,升, 太阳 公公 真 的 升 起来
有 一 天 小 毛毛 有 一 只 小 小 毛毛虫 它 看见 太阳 刚 升 起来,60,child,升,NA
太阳 升 起来 了,60,child,升, 了
噢 太阳 升 起来 了,60,adult,升, 了
星期天 早上 太阳 老 公公 升 起来 了,60,child,升, 了
星期天 早晨 暖和 的 太阳 升 起来 了,60,child,升, 了
然后 它 跳 起来 想 抓住 这个 太阳,48,child,跳, 想 抓住 这个 太阳
星期天 早上 暖和 的 太阳 升 起来,60,child,升,NA
一 天 太阳 升 起来 了,60,child,升, 了
太阳 起来 了,60,child,阳, 了
星期天 早上 暖和 的 太阳 升 起来 了,60,child,升, 了
早上 太阳 起来 了,60,adult,阳, 了
星期天 早上 温和 的 阳光 升 起来 了,72,child,升, 了
在 一 天 的 晚上 月亮 升 起来 了 树叶 长 出来 了,72,child,升, 了 树叶 长 出来 了
现在 月亮 升 起来,60,child,升,NA
它 起来 了,60,child,它, 了
毛毛虫 站 起来 了,72,child,站, 了
太阳 公公 升 起来 了,72,child,升, 了
毛毛虫 起来 吃 早饭 的 时候 就 吃 了 苹果,72,child,虫, 吃 早饭 的 时候 就 吃 了 苹果
最后 太阳 升 了 起来,72,child,升,NA
月亮 升 起来 了,72,child,升, 了
噢 月亮 升 起来 了,72,adult,升, 了
星期天 早上 暖和 的 太阳 升 起来 了,72,child,升, 了
太阳 升 起来 了,72,child,升, 了
哦 太阳 升 起来 了,72,adult,升, 了
星期天 早晨 暖 暖和 的 太阳 升 起来 了,72,child,升, 了
然后 呢 第 二 天 早上 起来 了 毛毛虫 爬 到 山 上 去,72,child,上, 了 毛毛虫 爬 到 山 上 去
星期天 早上 温暖 的 太阳 升 起来 了,72,child,升, 了
然后 太阳 要 升 起来 的 时候 毛毛虫 就 然后 毛毛虫 就 从 里面 爬 出来 了,72,child,升, 的 时候 毛毛虫 就 然后 毛毛虫 就 从 里面 爬 出来 了
到 早上 了 呃 一 个 毛毛虫 起来 了,72,child,虫, 了
一 个 毛毛虫 起来 了,72,adult,虫, 了
太阳 升 起来 了,72,child,升, 了
刘思彤 那里 有 一 本 故事 书 嗯 你 把 它 拿 起来 自己 先 看 一 遍 好 吗,48,adult,拿, 自己 先 看 一 遍 好 吗
嗯 自己 翻 没关系 把 它 衣 袖 弄 起来 哎 好 的,48,adult,弄, 哎 好 的
就是 就是 给 他 抓 起来 的,48,child,抓, 的
给 他 抓 起来 的 是 吧,48,adult,抓, 的 是 吧
然后 这 个 又 抱 起来 了 又 下来 了 然后 这 个 房子 又 跑 到 这 个 房子 这里 来 了,48,child,抱, 了 又 下来 了 然后 这 个 房子 又 跑 到 这 个 房子 这里 来 了
狼 来 了 居然 想 要 敲 马 了 马 就 叫 起来 了,48,child,叫, 了 居然 想 要 敲 马 了 马 就 叫 起来 了
一 个 眼睛 蒙 起来 一 个 眼睛 看到,48,child,蒙, 一 个 眼睛 看到
猫头鹰 飞 了 他 叫 起来 一 个 小 火柴 盒 还有 楼梯 还有 怪 兽 还有 家,48,child,叫, 一 个 小 火柴 盒 还有 楼梯 还有 怪 兽 还有 家
这里 有 一 个 马 他 把 轮 胎 砍 碎 了 这样 车 就 开 不 起来 了,48,child,开, 了
然后 他们 都 举 手 把 都 运 到 那边 去 了 然后 拦 到 一 辆 马 车 然后 把 他 抱 到 床 上去 了 然后 起来 看到 有 这么 多 的 财 宝 他们 也 不 知道 然后 他们 买 了 一 个 房子 把 一 个 小 孩 放 进去 然后 讲 完了,48,child,后, 看到 有 这么 多 的 财 宝 他们 也 不 知道 然后 他们 买 了 一 个 房子 把 一 个 小 孩 放 进去 然后 讲 完了
小 虎 说 今天 带来 两 本 图画 书 我 想 请 你 一 起来 看看,48,adult,一, 两 本 图画 书 我 想 请 你 一 起来 看看
因为 看 起来 马 喜欢 吃,48,child,看, 马 喜欢 吃
这里 后来 发生 光 后来 打 起来 了,48,child,打, 发生 光 后来 打 起来 了
最后 他们 逃 掉 了 喇叭 上 有 东西 想 要 敲 马 了 马 叫 起来 了,48,adult,叫, 了
公主 起来 了,48,child,主, 了
公主 起来 了 嗯,48,adult,主, 了 嗯
这里 发生 了 他们 把 小 女孩 轻轻 的 抱 起来 放 到 家里,48,child,抱, 放 到 家里
不 然 你 把 它 遮 起来 它 就 看 不 见 了 来 继续 后来 呢,48,adult,遮, 它 就 看 不 见 了 来 继续 后来 呢
这里 是 魔法 师 魔法 师 把 三 个 强盗 抓 起来 了,48,child,抓, 了
xxx 小 小 洋娃娃 把 洋娃娃 拿 起来 啦 啦 啦,48,child,拿, 啦 啦 啦
于沐涵 那里 有 一 本 故事 书 你 把 它 拿 起来 自己 看 一 遍 好 吗,48,adult,拿, 自己 看 一 遍 好 吗
来 你 把 它 拿 起来 自己 先 看 一 遍 啊 看 完 了 讲 给 老师 听 吧,48,adult,拿, 你 把 它 拿 起来 自己 先 看 一 遍 啊 看 完 了 讲 给 老师 听 吧
躲 起来,48,child,躲,NA
哦 躲 起来 啊,48,adult,躲, 啊
龚佳妮 你 看 那里 有 一 本 故事 书 你 先 拿 起来 自己 先 看 一 遍 好 吗,48,adult,拿, 自己 先 看 一 遍 好 吗
他 起来 得 到 很多 金 币,48,child,他, 得 到 很多 金 币
毛毛虫 在 起来,48,child,在,NA
老鼠 和 小 朋友 人 一起 起来 了,48,child,起, 了
然后 小姑娘 起来 拿 宝藏 了,48,child,娘, 拿 宝藏 了
接 着 他 又 把 轮子 弄 坏 这里 一 个 人 大 叫 了 起来,48,child,叫,NA
哦 大 叫 了 起来 接 着 怎么样 啦,48,adult,叫, 接 着 怎么样 啦
有 一 个 怪 物 他 发现 摇篮 里 有 一 个 小姑娘 就 把 她 抱 起来,48,child,抱,NA
然后 他 就 睡 在 床 上 然后 他 起来 一 看 吆 这么 多 的 米饭 赶快 抓 来 吃 了,48,adult,他, 一 看 吆 这么 多 的 米饭 赶快 抓 来 吃 了
后来 小朋友 起来 了 xxx,48,child,友, 小朋友 起来 了 xxx
王天浩 那里 有 一 本 故事 书 你 把 它 拿 起来 自己 看 一 遍 好 吗,48,adult,拿, 自己 看 一 遍 好 吗
所以 三 个 强盗 就 用 缓和 的 篷 斗篷 把 她 抱 起来 包 起来 带 走 了,48,child,抱, 包 起来 带 走 了
所以 三 个 强盗 就 用 暖和 的 斗篷 把 她 包 了 起来 带 走 了,48,child,包, 带 走 了
它 起来 一 看 这么 多 金子,48,child,它, 一 看 这么 多 金子
所以 三 个 强盗 就 用 暖和 的 竹 帘 把 包 起来 带 走 了,48,child,包, 带 走 了
一 个 强盗 看到 里面 有 个 小姑娘 后来 他 就 把 她 抱 起来,48,child,抱, 他 就 把 她 抱 起来
然后 她 起来 了 看到 这 个 地方 有 好多 金 宝,60,child,她, 了 看到 这 个 地方 有 好多 金 宝
所以 三 个 强盗 就 用 暖和 的 斗篷 把 她 抱 包 起来 带 走 了,60,child,包, 带 走 了
把 要 把 其他 人 关 起来,60,child,关,NA
哦 要 把 其他 人 抓 起来,60,adult,抓,NA
然后 他们 在 枪 放 这里 喇叭 也 夹 住 然后 用 了 一 个 喇叭 和 一 个 可以 收缩 的 那 个 东西 然后 喇叭 一 吹 之后 就 可以 把 这 个 东西 这 个 武器 给 吹 站 起来 然后 呢 这 几 个 人 过 桥 去 然后 呢 他 一直 对 着 武器 然后 把 这些 人 都 给 吓 跑 了 然后 呢 马 呢 就 他 一 吹 喇叭 然后 就 嘣 那 个 就是 用 哪 个 武器 把 轮胎 给 打断 了,48,child,站, 然后 呢 这 几 个 人 过 桥 去 然后 呢 他 一直 对 着 武器 然后 把 这些 人 都 给 吓 跑 了 然后 呢 马 呢 就 他 一 吹 喇叭 然后 就 嘣 那 个 就是 用 哪 个 武器 把 轮胎 给 打断 了
然后 猎人 没 办法 只好 躲 起来,48,child,躲,NA
只好 躲 起来 了 是 吧,48,adult,躲, 了 是 吧
哎 那里 有 一 本 故事 书 你 先 把 它 拿 起来 自己 看 一 遍 好 吗,48,adult,拿, 自己 看 一 遍 好 吗
马车 也 给 砍 的 声音 吓 死 了 就 奔 了 起来 就 奔 得 越来越 快,48,child,奔, 就 奔 得 越来越 快
后来 就 后来 就 抓 起来 了,48,child,抓, 就 后来 就 抓 起来 了
若 鱼 说 抓 起来 了,48,adult,抓, 了
小 女孩 一 起来 发现 有 一 大 筐 金子 和 银子,48,child,一, 发现 有 一 大 筐 金子 和 银子
